1,2,3,4,5,oil kg per hour
off,off,off,off,off,1.45
off,off,off,off,on,1.5
off,off,off,on,off,1.55
off,off,off,on,on,1.6
off,off,on,off,off,1.65
off,off,on,off,on,1.7
off,off,on,on,off,1.75
off,off,on,on,on,1.8
off,on,off,off,off,1.85
off,on,off,off,on,1.9
off,on,off,on,off,1.95
off,on,off,on,on,2
off,on,on,off,off,2.05
off,on,on,off,on,2.1
off,on,on,on,off,2.15
off,on,on,on,on,2.2
on,off,off,off,off,2.25
on,off,off,off,on,2.3
on,off,off,on,off,2.35
on,off,off,on,on,2.4
on,off,on,off,off,2.45
on,off,on,off,on,2.5
on,off,on,on,off,2.55
on,off,on,on,on,2.6
on,on,off,off,off,2.65
on,on,off,off,on,2.7
on,on,off,on,off,2.75
on,on,off,on,on,2.8
on,on,on,off,off,2.85
on,on,on,off,on,2.9
on,on,on,on,off,2.95
on,on,on,on,on,3
